"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-01","0.01",",,N","0.1",",,N","3.5",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-02","0.00",",,N","0.0",",,N","3.5",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-03","0.00","T,,N","0.0","T,,N","3.0",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-04","0.01",",,N","0.1",",,N","3.0",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-05","0.00",",,N","0.0",",,N","3.0",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-06","0.00",",,N","0.0",",,N","3.0",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-07","0.00",",,N","0.0",",,N","3.0",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-08","0.13",",,N","0.1",",,N","2.5",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-09","0.00",",,N","0.0",",,N","2.0",",,N",,,,,,,,,,,,,,,,,,
"US1ILCP0061","CHAMPAIGN 1.5 SSE, IL US","40.0943","-88.2519","228.0","2018-01-10","0.03",",,N","0.0",",,N","1.5",",,N",,,,,,,,,,,,,,,,,,
